materia,grupo,hora,dia,aula,profesor
3541,C|4|54|||20251~S1,07,V,E28,P000001
3541,C|4|54|||20251~S1,15,V,E28,P000001
4541,C|4|54|||20251~S1,17,L,X22,P000005
4541,C|4|54|||20251~S1,21,X,X22,P000005
4541,C|4|54|||20251~S1,11,V,X22,P000005
7543,C|4|54|||20251~S1,12,L,LM2,P000099
7543,C|4|54|||20251~S1,16,L,LM2,P000099
7543,C|4|54|||20251~S1,08,M,LM2,P000099
7543,C|4|54|||20251~S1,13,V,LM2,P000099
1542,C|4|54|||20251~S1,15,L,E15,P000017
1542,C|4|54|||20251~S1,12,M,E15,P000017
1542,C|4|54|||20251~S1,10,V,E15,P000017
1544,C|4|54|||20251~S1,21,M,E28,P000030
1544,C|4|54|||20251~S1,08,X,E28,P000030
1544,C|4|54|||20251~S1,17,J,E28,P000030
2542,C|4|54|||20251~S1,17,M,E16,P000062
2542,C|4|54|||20251~S1,20,M,E16,P000062
2542,C|4|54|||20251~S1,15,X,E16,P000062
2545,C|4|54|||20251~S1,09,M,E26,P000011
2545,C|4|54|||20251~S1,10,M,E26,P000011
2545,C|4|54|||20251~S1,09,V,E26,P000011
2547,C|4|54|||20251~S1,16,M,E37,P000093
2547,C|4|54|||20251~S1,19,M,E37,P000093
2547,C|4|54|||20251~S1,10,J,E37,P000093
3543,C|4|54|||20251~S1,18,M,E27,P000009
3543,C|4|54|||20251~S1,12,X,E27,P000009
3543,C|4|54|||20251~S1,17,V,E27,P000009
4543,C|4|54|||20251~S1,11,M,G25,P000012
4543,C|4|54|||20251~S1,13,M,G25,P000012
4543,C|4|54|||20251~S1,14,J,G25,P000012
4546,C|4|54|||20251~S1,17,X,E12,P000008
4546,C|4|54|||20251~S1,18,X,E12,P000008
4546,C|4|54|||20251~S1,19,X,E12,P000008
5541,C|4|54|||20251~S1,10,L,E37,P000021
5541,C|4|54|||20251~S1,11,L,E37,P000021
5541,C|4|54|||20251~S1,20,J,E37,P000021
5543,C|4|54|||20251~S1,07,L,F35,P000006
5543,C|4|54|||20251~S1,09,X,F35,P000006
5543,C|4|54|||20251~S1,16,V,F35,P000006
5546,C|4|54|||20251~S1,13,L,U22,P000076
5546,C|4|54|||20251~S1,21,L,U22,P000076
5546,C|4|54|||20251~S1,14,V,U22,P000076
6541,C|4|54|||20251~S1,16,X,F17,P000002
6541,C|4|54|||20251~S1,08,V,F17,P000002
6541,C|4|54|||20251~S1,21,V,F17,P000002
6545,C|4|54|||20251~S1,10,X,F20,P000005
6545,C|4|54|||20251~S1,15,J,F20,P000005
6545,C|4|54|||20251~S1,21,J,F20,P000005
6547,C|4|54|||20251~S1,18,L,G11,P000001
6547,C|4|54|||20251~S1,20,L,G11,P000001
6547,C|4|54|||20251~S1,08,J,G11,P000001
