materia,grupo,hora,dia,aula,profesor
4501,C|8|50|||20251~S1,21,V,FF3,P000094
6501,C|8|50|||20251~S1,10,L,E22,P000130
6501,C|8|50|||20251~S1,14,L,E22,P000130
6501,C|8|50|||20251~S1,20,V,E22,P000130
7501,C|8|50|||20251~S1,08,L,EE4,P000130
7501,C|8|50|||20251~S1,21,M,EE4,P000130
7501,C|8|50|||20251~S1,18,X,EE4,P000130
7506,C|8|50|||20251~S1,11,L,FFD,P000179
7506,C|8|50|||20251~S1,08,M,FFD,P000179
7506,C|8|50|||20251~S1,13,X,FFD,P000179
8505,C|8|50|||20251~S1,15,M,F13,P000123
8505,C|8|50|||20251~S1,21,J,F13,P000123
8505,C|8|50|||20251~S1,08,V,F13,P000123
2502,C|8|50|||20251~S2,08,L,L13,P000118
2502,C|8|50|||20251~S2,12,M,L13,P000118
2502,C|8|50|||20251~S2,07,X,L13,P000118
2502,C|8|50|||20251~S2,20,V,L13,P000118
3505,C|8|50|||20251~S2,11,J,LAM,P000154
3505,C|8|50|||20251~S2,10,V,LAM,P000154
3505,C|8|50|||20251~S2,14,V,LAM,P000154
3505,C|8|50|||20251~S2,17,V,LAM,P000154
4504,C|8|50|||20251~S2,16,L,L13,P000172
4504,C|8|50|||20251~S2,17,X,L13,P000172
4504,C|8|50|||20251~S2,15,J,L13,P000172
4504,C|8|50|||20251~S2,19,V,L13,P000172
4506,C|8|50|||20251~S2,19,M,L13,P000129
4506,C|8|50|||20251~S2,20,X,L13,P000129
4506,C|8|50|||20251~S2,07,J,L13,P000129
4506,C|8|50|||20251~S2,13,V,L13,P000129
5505,C|8|50|||20251~S2,18,L,L14,P000124
5505,C|8|50|||20251~S2,14,M,L14,P000124
5505,C|8|50|||20251~S2,21,M,L14,P000124
5505,C|8|50|||20251~S2,11,X,L14,P000124
6503,C|8|50|||20251~S2,07,M,L13,P000166
6503,C|8|50|||20251~S2,11,M,L13,P000166
6503,C|8|50|||20251~S2,20,J,L13,P000166
6503,C|8|50|||20251~S2,07,V,L13,P000166
6505,C|8|50|||20251~S2,14,X,L13,P000164
6505,C|8|50|||20251~S2,21,X,L13,P000164
6505,C|8|50|||20251~S2,12,J,L13,P000164
6505,C|8|50|||20251~S2,08,V,L13,P000164
8504,C|8|50|||20251~S2,11,L,L14,P000166
8504,C|8|50|||20251~S2,20,L,L14,P000166
8504,C|8|50|||20251~S2,17,M,L14,P000166
8504,C|8|50|||20251~S2,15,V,L14,P000166
1503,C|8|50|||20251~S2,21,L,EE4,P000071
1503,C|8|50|||20251~S2,17,J,EE4,P000071
1503,C|8|50|||20251~S2,16,V,EE4,P000071
2504,C|8|50|||20251~S2,10,J,E35,P000178
2504,C|8|50|||20251~S2,14,J,E35,P000178
2504,C|8|50|||20251~S2,18,J,E35,P000178
3502,C|8|50|||20251~S2,13,L,F13,P000054
3502,C|8|50|||20251~S2,08,M,F13,P000054
3502,C|8|50|||20251~S2,21,V,F13,P000054
5506,C|8|50|||20251~S2,07,L,FF2,P000137
5506,C|8|50|||20251~S2,15,L,FF2,P000137
5506,C|8|50|||20251~S2,18,X,FF2,P000137
6506,C|8|50|||20251~S2,13,M,FF5,P000131
6506,C|8|50|||20251~S2,13,X,FF5,P000131
6506,C|8|50|||20251~S2,16,J,FF5,P000131
7504,C|8|50|||20251~S2,17,L,FFA,P000154
7504,C|8|50|||20251~S2,08,X,FFA,P000154
7504,C|8|50|||20251~S2,19,X,FFA,P000154
8501,C|8|50|||20251~S2,09,X,FF7,P000074
8501,C|8|50|||20251~S2,16,X,FF7,P000074
8501,C|8|50|||20251~S2,21,J,FF7,P000074
850M,C|8|50|||20251~S2,09,J,FFD,P000175
850M,C|8|50|||20251~S2,13,J,FFD,P000175
850M,C|8|50|||20251~S2,19,J,FFD,P000175
